kr,en
출전할 사람들은 어떻게 정할 건가요? 게임 제작 경험이 있는 사람들 위주로 할 건가요?,How should we draw the participants? Should we select from the people with game production experience?
우리 동아리 사람들 모두 출전할 예정입니다. 각자 원하는 사람들과 팀을 이루면 됩니다.,All of our club members are going to participate. You can team up with the people you want.
즐거웠다니 다행이네요. 상 받으시면 동아리 회식하기로 해요.,"I'm glad you enjoyed it. If you get an award, we’ll celebrate."
안녕하세요. 신입 부원 김영산이라고 합니다. 열심히 하겠습니다.,"Hi. I’m Young San Kim, a new member. I'll do my best."
그게 바로 전에 싸움이 발생했거든. 갑자기 일어난 거라 너무 놀랐어.,There was a fight just before. I was so surprised because it happened suddenly.
"네, 그럼 저 먼저 가볼게요. 내일 꼭 이겨요.","Ok, then I’ll go home. Let's win tomorrow."
정말 반가워요. 질문이 있는데 매년 축제 때 음악회를 연다는 것이 사실인가요?,"It's nice to see you. I have a question, is it true that we would hold a concert every year at the festival?"
다음 주부터 시험 기간이라 동아리 활동은 없어요. 모두 공부 열심히 해요.,"There will be no club activity next week because of the exam. Study hard, everyone."
정말 신나네요. 제가 빵을 좋아하는 것도 있지만 이번에 처음 빵을 만들어보는 것이라서 기대가 돼요.,"I’m excited. Not only because I love bread, but I also look forward to making bread for the first time."
좋아하시니 저도 정말 기분이 좋네요. 재료비는 매주 달라지기는 하지만 보통 만 원이 드니까 참고하세요.,"I’m glad to see you excited. The cost for ingredients varies every week, but it's usually 10,000 won."
정말 좋아요. 버터 쿠키 정말 좋아하거든요. 다음에는 커피도 가져와야겠어요.,It sounds really good. I like butter cookies. Next time I'll bring some coffee.
"네, 알겠습니다. 그래도 연습한 만큼 좋은 결과가 있었으면 좋겠네요.","Yes, got it. I wish we’d have a good result as we practiced."
제 생각에는 음료도 같이 팔아서 카페를 하는 것이 좋을 것 같아요.,I think it would be a good idea to sell drinks and open a cafe.
제 생각에는 다 같이 밥 먹는 것이 어떨까요?,How about having a nice meal together?
같이 먹는 건 별로야. 난 고기 맛만 느껴지는 게 더 좋아. ,I don't. I prefer to taste meat only.
난 고기만 먹으면 좀 느끼하던데 참 신기하네.,It feels greasy if I eat meat only though. That's interesting.
그럼 그러자. 민지한텐 내가 지금 전화해 볼게. ,"Yea, we should. I'm going to call Minji."
고마워요. 젓가락 쓰는 법은 집에서 더 연습해 볼게요.,"Thanks, I will practice harder when I get home."
4명이요. 의자 하나는 아기 의자로 부탁드려요.,We are 4. Please bring us a baby seat.
야. 여기 식기가 왜 이렇게 더러워? 설거지 제대로 안 하는 건가?,Why are the tablewares so dirty here? Do they wash the dishes?
식기 새로 달라고 해야겠다. 또 이러면 진짜 짜증 날 것 같아.,I'm going to ask for a new one. I'll be upset if it happens again.
맛있어. 특히 소스 맛이 좋은 것 같아. 다음에도 먹고 싶네.,"It's good, especially the sauce is great. I'd like to eat it again next time."
그래. 한 입보다 더 먹어도 괜찮으니까 먹어.,"Sure, you can have some more if you want."
그것보단 다른 것 시켜서 둘이 나눠 먹는 게 어떠니?,How about ordering a different one and then share?
고집부리는구나. 그래 알겠어. 대신 다 먹어야 한다.,You're stubborn. Fine but you have to finish it.
그렇네. 다음에 어머님 모시고 오자. 분명 좋아하실 거야.,You're right. Let’s come again with your mom. She'll love it.
너 기특하다. 우리 엄마 생각을 다 해주고. ,You are great. How did you think about my mom?
당연하지. 너도 어머님께 좀 더 잘 해드려 봐.,Of course. You should treat her better.
예약할게요. 최종결제할 때 예약금만큼 음식값에서 제외되는 거 맞죠?,"OK, I will. The deposit will be excluded from the final payment, right?"
안녕하세요. 내일 저녁 8시 예약했던 데이비드입니다. 취소하려고 전화 했는데 가능하나요?,"Hello, this is David who booked at 8 p.m. tomorrow. I would like to cancel my reservation. Is it possible?"
그런가 보네. 이렇게 만나는 것도 신기하다. 나도 같이 가.,It seems like it. Unbelievable that I'm seeing her here. I'm coming with you.
줄 진짜 너무 긴 거 아니야? 우리 몇십 분째 기다리는 거야?,Such a long line! How many minutes we've been waiting for?
저기 앞쪽에 옷걸이가 마련되어 있습니다. 제가 걸어드릴게요.,There is a hanger ahead. I will hang it on for you.
정말 친절하시네요. 감사합니다. 그럼 부탁드릴게요.,How kind of you. Thank you. Here is my coat.
그렇지. 잘하는구나. 오늘부터 실천해 보자.,That's right. Good job. Let's do this from now on.
응. 넌 처음 보는 얼굴이구나. 우리 처음 같은 반 된 거지?,Of course. I think I've never seen you before. Is this our first time being in the same class?
나도 반가워. 우리 1년 동안 잘 지내보자.,Good to see you too. Let's have a great year together.
"어머, 저도 지금 장 보러 마트 가요. 같이 가실래요?","Wow, I'm going to the grocery store, too. Can I come with you?"
좋아요. 그럼 제가 운전할 테니 저랑 같이 가요.,"Sure, let's go together. I'll drive."
안녕하세요. 요즘은 저희 아들 때문에 시끄럽진 않으세요?,Hello. Aren't you annoyed by the noise that my son makes these days?
"네, 그럴게요. 이렇게 신경 써주셔서 고마워요.",I will. Thank you for your concern.
당연하지. 아까 아빠랑 국수 먹었어. 넌 전화 좀 자주 해라.,"Yes, of course. I had a noodle with your dad. You should call more often."
직장 다니느라 고생이 많네. 엄마가 곧 반찬 주러 갈게.,You're working hard. I will visit you with home-made food soon.
괜찮아. 다음에 다시 뵙게 되면 방금 가르쳐 준 대로 인사하면 돼.,That's okay. You can say hello next time as I just instructed you.
안녕하세요. 직접 뵙는 건 처음이네요. 저희와 계약해 주신다니 감사드립니다.,"Hello, it's the first time to meet you in person. Thank you for consenting to sign a contract with us."
그러게? 다음엔 나랑 여기서 만나. 커피 한잔하자.,That's true. Let's have coffee here next time.
그래요. 만나 봬서 반가워요. 지영 씨 얘기 많이 들었어요.,"It's great to see you. We've heard a lot about you, Ji Young."
그랬구나. 나도 그랬어. 지금이라도 사과하고 싶어. 미안해.,I understand. Same here. I would like to apologize now. I'm sorry.
"아이고, 우리 손자 왔구나. 나도 보고 싶었단다. 그런데 너 엄마는?","My grandson! I've missed you, too. Where's your mom?"
"야, 너 이제 진짜 몸 괜찮아? 다 나은 거지?",Are you sure you' re alright? Have you fully recovered?
그래. 나도 내가 말로만 듣던 맹장 수술할 줄 몰랐다.,"Yes, I've never expected to have an appendectomy."
내 주변에서도 네가 처음이긴 해. 맹장 터지면 엄청 아프다던데.,You'are the first one who had an appendectomy among the people that I know. I know it hurts a lot when the appendix burst.
나 죽을 뻔했잖아. 근데 이젠 진짜 멀쩡해. 걱정하지 마.,I almost died. But now I am fine. Don't worry.
어? 나 지은이 친구야. 저번에 카페에서 지은이랑 가다가 마주쳤었는데.,"Hey, I am a friend of Ji Eun. I saw you on the way to a café with her."
네? 깜짝이야. 너 왜 여기 있어? 여기서 아르바이트해? ,"What? Wow, what are you doing here? Do you work part-time here?"
아니. 세부랑 태국 중에 고민이야. 어떡할까?,"Not yet. I don't know what to choose, Bangkok or Cebu. What do you think?"
해외여행 처음 가는 거 티 내네. 하긴 나도 그랬었지.,"You're making it obvious how this is your first trip abroad. Well, I was the same."
나 항공사에서 연락받았는데 우리 가는 날은 비가 많이 와서 취소됐데.,I got a phone call from the airplane that our flight has been canceled due to heavy rain.
그래? 왜 더 괜찮은지 말해줘. 들어보고 거기로 하게.,Is it? Tell me the reasons before I decide.
응. 어떡하지? 약 챙겨올 생각은 딱히 못 했어.,"Yes, what should I do? I didn't think it was necessary."
나 1년 전에 여기 와 본 적 있다니까? 그래도 고집 피울 거야?,I've been here a year ago. Do you still want to go this way?
다시 거기까지 가려면 시간 좀 걸릴 텐데. 그냥 여기 근처에서 먹을까?,I guess it'll take time to go to the restaurant. Why don’t we eat here?
그러자. 계획대로 안 되는 것도 여행의 묘미지.,"Okay. It didn't work out as planned, but that's the beauty of traveling."
"아니요. 지나가다 들어왔는데, 아직 방 남아 있나요?","No, we just dropped by. Do you have a room?"
네. 두 분 지내실 방 남아있습니다. 4층이랑 7층 중 고르시겠어요?,"Yes, we have rooms for 2. Which floor do you want to stay, 4th or 7th?"
"아주 좋지. 지갑이랑 모자, 선글라스만 챙겨서 바로 나가자.","Sounds great. Let's grab our wallets, hats, and sunglasses and go right away."
"당연하지. 나는 미국 몇 번 와봤지만, 뉴욕이 제일 좋아.","Absolutely. I've been to the United States a few times, but New York is the best."
응. 여기 가는 버스가 오늘은 사정상 운행을 안 해. 택시를 타기엔 돈이 너무 비싸.,"Yes, the bus for this route doesn't operate today for some reason. And it'll cost a lot to go via cab."
그래. 다음에 다시 갈 기회가 있을 거야. 다른 곳을 찾아보자.,I see. We'll find another opportunity. Let' find another place to go.
나 서울 여행은 살면서 처음 해보는데 아주 좋아.,"I've never traveled to Seoul in my life, and it's so nice."
"초면에 실례지만, 제 이상형이신데 혹시 남자친구 있으신가요?","Excuse me, I know that we just met but you are my ideal type of girl, and do you have a boyfriend?"
"없는데, 여기 사람 아니신 것 같은데 혹시 어디 사세요?","I don’t have a boyfriend but you don't seem to be a Korean, so where are you from?"
하지만 나는 이 정도면 꽤 괜찮은 곳이라고 생각해.,But I think it's a pretty nice place.
"아니, 생각보다 더 더럽고 사람들도 엄청나게 많아서 움직이기 힘들 것 같아.","No, it's dirtier and very crowded than I thought so I think it will be difficult to move around."
"엄마랑 나랑 둘이서 부산 온 건 처음인데, 기분이 어때?","Mom, we've never traveled to Busan together before and how do you feel?"
"딸이랑 둘이 오니까 기분이 색다르고, 엄마는 좋아.","It feels a bit different different to come here with my daughter, and I love it."
"당연하지, 다음에도 또 보내줄 테니 몸조심하고 4일 뒤에 봐.","Sure, I will let you trip together again next time, so take care and see you 4 days later."
지금 시간이면 대구에서 포항까지 왕복 두 시간이면 돼서 나는 괜찮아.,I'm fine since it will take only 2 hours from Daegu to Pohang for a round trip now.
저기 바위 위에 올리면 될 것 같아서 내가 해볼 테니 카메라 줘봐.,"I'll try putting the camera on top of that rock since it seems possible, so give me the camera."
"그런 것 같고, 이런 곳이 숨어있는지 몰랐네. ","It seems so, and I didn’t know there was a hidden place like here."
"네, 가능하니 여권 보여주시면 제가 처리해 드릴게요.","Yes, so I'll do it for you if you show me your passport."
"가영님, 예약 확인되셨는데 혹시 취소 사유 확인 가능할까요?","I checked your reservation, and can I ask you the reason for cancellation?"
"네, 확인을 위해 예약번호 8자리 부탁드립니다.","Yes, please tell me your 8-digit booking number."
"저희 호텔은 24시간 체크인할 수 있으며, 체크 아웃은 오전 11시입니다.","Check-in is available 24 hours a day, and the check-out time is 11 a.m."
"계좌이체도 되는 거라면, 계좌이체로 해주세요.","If account transfer is possible, I'd like to transfer money from my account."
여기 호텔로 가는 대중교통이 무엇이 있는지 문의드립니다.,I have an inquiry about the public transportation that goes to your hotel.
"네, 지금 오믈렛은 재료가 다 소진됐고 나머지는 다 가능하십니다.",You can order anything except omelet because we are run out of ingredients.
"불편을 끼쳐 드린 점 사과드리며, 15분 내로 가져다 드리겠습니다.","We apologize for the inconvenience, and we will deliver your meal in 15 minutes."
"네, 가운 1개와 수건 1장을 금방 가져다 드리겠습니다.","Yes, we will bring 1 bathrobe and 1 large towel to you quickly."
"그럼 지금 다시 예약할 테니, 예약 취소해 주세요.","I will make reservation again now, so please cancel my reservation. "
"처음 들어보는 말인데, 나는 침대가 좁으면 답답해서 잠을 못 자서 침대가 무조건 커야 해.","I've never heard such an answer, and for me, the bed has to be big because I can't sleep on a small bed which makes me stuffy."
5월 5일부터 5월 8일까지 묵을 방이 있을까요?,Do you have a room available from May 5th to 8th?
이 호텔에는 뷔페 말고도 다른 식당이 있나요?,Are there any restaurants apart from the buffet in the hotel?
"이 호텔 워낙 자주 와서, 내가 안 써본 서비스가 없는 것 같아.",I think I've experienced almost every service they offer because I often come to this hotel.
"자세한 사항은 기밀이지만, 회사의 기반을 재정비하였습니다.","The specifics are confidential, but we reorganized the infrastructure of our company. "
아이디어와 사업을 믿고 차별화된 브랜드 가치를 구축하였기 때문입니다.,It's because I built a differentiated brand value by believing my ideas and business.
오늘 발표자 중 AI 개발자분들과 협력하고 싶습니다.,"Among today's presenters, I want to cooperate with the AI developers."
어떤 부분에서 협력하고자 하십니까?,In which part would you like to cooperate with them?
우리 회사의 여러 제품에 알맞은 AI 시스템을 구축하고자 합니다.,I hope to build AI systems that suit many of our company's products.
앞으로 자동차 AI 산업 전망이 어떻습니까?,What are the prospects for the automobile AI industry?
"다들 아시다시피, 자동 운전 시스템을 구축한다면 사고 발생 시에 문제가 생깁니다.","As you all know, it becomes problematic when an accident occurs if we build an automatic driving system."
사회적 기업을 세우게 된 가장 큰 이유는 무엇입니까?,What is the biggest reason you established a social enterprise?
콘퍼런스에서 오늘 발표를 성공적으로 마무리했습니다.,Today we successfully made a presentation at the conference.
"지금 노트북으로 보고 있는데, 지인이 3명 있습니다.","I'm looking at it now on my laptop, and there are 3 acquaintances."
그 직원은 이미 다른 질문을 대답하고 있습니다.,That employee is already answering another question.
감사합니다. 바로 확인해 보겠습니다.,Thank you. I'll check it right away. 
그렇군요. 바로 복사해 드리겠습니다.,I see. I'll do the copies right away.
그동안 묵을 수 있는 숙소가 제공되나요?,Is the accommodation provided while we are there?
KTX 기차를 타고 이동할 예정입니다.,We are going to move by KTX train.
"네, 출장 다녀와서 법인 카드는 바로 제출하겠습니다.",Yes. I will return the corporate card as soon as I come back.
"네, 다른 지역의 회사에 신입사원들을 교육하는 일을 하러 갑니다.",Yes. I'm going to a company in a different region to train new employees.
다음 달에 있을 해외출장에 총 몇 명의 직원이 참여하나요?,How many employees are going to the overseas business trip next month?
"홍보팀 2명, 디자인팀 2명 해서 총 4명이 참여합니다.","Total 4 employees are going, including 2 from our promotion team and the other 2 from the design team."
